,Nr_boczny,Numer_Linii,brigade_id,update_time,pozycja_dlugosc,pozycja_szerokosc
72,2711,3,6,2023-10-25 19:34:54,16.9307804107666,51.1384544372559
73,2712,17,23,2023-10-25 19:34:51,17.0069465637207,51.0729598999023
74,2713,12,4,2023-10-25 19:35:05,17.103214263916,51.1139335632324
75,2715,17,36,2023-10-25 19:35:02,16.9867515563965,51.0659217834473
76,2718,14,5,2023-10-25 19:35:05,17.0218811035156,51.104621887207
77,2719,20,17,2023-10-25 19:35:00,16.8997898101807,51.1426200866699
78,2720,1,4,2023-10-25 19:34:56,17.0458011627197,51.1247138977051
79,2723,10,11,2023-10-25 19:34:54,16.8720989227295,51.1447792053223
80,2725,1,16,2023-10-25 19:34:51,17.0277652740479,51.1501007080078
81,2726,6,15,2023-10-25 19:35:05,17.0065307617188,51.0730972290039
82,2801,8,9,2023-10-25 19:35:02,17.03635597229,51.1339530944824
83,2803,4,4,2023-10-25 19:35:00,17.1027526855469,51.1021385192871
84,2804,10,16,2023-10-25 19:35:00,17.0289325714111,51.1082229614258
85,2805,3,26,2023-10-25 19:34:51,17.0838508605957,51.0773124694824
86,2806,22,9,2023-10-25 19:35:05,17.0311374664307,51.1009750366211
87,2808,16,4,2023-10-25 19:35:05,17.0452899932861,51.0996131896973
88,2809,22,5,2023-10-25 19:35:00,16.9486408233643,51.1364517211914
89,2811,8,4,2023-10-25 19:35:00,17.0386333465576,51.1074829101562
90,2812,15,20,2023-10-25 19:35:05,17.0322723388672,51.1405982971191
91,2813,15,29,2023-10-25 19:35:00,17.0309238433838,51.1452751159668
92,2814,16,5,2023-10-25 19:34:56,17.0617370605469,51.1169090270996
93,2815,16,10,2023-10-25 19:35:05,17.0648670196533,51.0786399841309
94,2817,22,7,2023-10-25 19:34:54,17.028694152832,51.0898475646973
95,2818,17,6,2023-10-25 19:35:02,17.0254707336426,51.0977783203125
96,2819,17,15,2023-10-25 19:35:02,17.0306243896484,51.1038398742676
97,2820,7,15,2023-10-25 19:35:02,17.034049987793,51.1086807250977
98,2821,12,2,2023-10-25 19:35:02,17.0390911102295,51.1075592041016
99,2822,7,13,2023-10-25 19:35:00,16.9867153167725,51.0660133361816
100,2902,15,7,2023-10-25 19:35:05,17.0132637023926,51.0719146728516
101,2903,3,3,2023-10-25 19:35:05,16.9313068389893,51.1383209228516
102,2904,11,14,2023-10-25 19:35:02,16.996768951416,51.098518371582
103,2905,23,5,2023-10-25 19:35:02,17.0356826782227,51.0998802185059
104,2906,23,10,2023-10-25 19:34:56,17.0474281311035,51.126293182373
105,2909,13,1,2023-10-25 19:34:56,17.0272674560547,51.1115455627441
106,2911,8,9,2023-10-25 19:34:56,17.0543594360352,51.0830459594727
107,2913,9,34,2023-10-25 19:35:05,17.0132465362549,51.0718383789062
108,2914,5,12,2023-10-25 19:35:00,17.0351161956787,51.1000595092773
109,2915,22,8,2023-10-25 19:34:54,17.0601921081543,51.0837516784668
110,2916,20,23,2023-10-25 19:35:00,17.0051441192627,51.0884170532227
111,2917,16,6,2023-10-25 19:34:56,17.0523471832275,51.1222686767578
112,2918,3,1,2023-10-25 19:35:00,17.0472984313965,51.1056098937988
113,2919,8,5,2023-10-25 19:35:05,17.0496845245361,51.0829849243164
114,2920,7,37,2023-10-25 19:35:05,17.0080833435059,51.0799942016602
115,2922,15,3,2023-09-26 17:28:52,17.027702331543,51.1500816345215
116,2924,16,11,2023-10-25 19:34:56,17.0370540618896,51.1345138549805
117,2925,20,28,2023-10-25 19:34:54,17.0285797119141,51.0883407592773
118,2926,17,40,2023-10-25 19:34:56,17.041015625,51.1153259277344
119,2927,20,5,2023-10-25 19:35:02,17.0016078948975,51.1130867004395
120,2928,9,32,2023-10-25 19:34:51,17.0398502349854,51.1135406494141
121,2929,15,9,2023-10-25 19:35:02,17.0272789001465,51.1504249572754
122,2931,13,8,2023-10-25 19:29:04,16.9834785461426,51.1142349243164
123,2932,8,1,2023-10-25 19:34:56,17.0646305084229,51.0787467956543
124,2933,4,36,2023-10-25 19:35:00,17.0217342376709,51.1045074462891
125,2934,20,4,2023-10-25 19:35:05,17.0206661224365,51.0938148498535
126,2935,13,3,2023-10-25 19:34:56,17.0894222259521,51.1158409118652
127,2936,20,13,2023-10-25 19:35:02,16.8719062805176,51.144100189209
128,2938,9,25,2023-10-25 19:35:02,17.0771026611328,51.115837097168
129,3002,10,15,2023-10-25 19:34:54,16.9654140472412,51.1310386657715
130,3003,14,11,2023-10-25 19:34:54,17.0061092376709,51.0735054016113
131,3004,12,7,2023-10-25 19:34:56,16.9627265930176,51.1427001953125
132,3006,2,10,2023-10-25 19:35:00,17.0899791717529,51.1039390563965
133,3009,14,7,2023-10-25 19:35:02,17.0225963592529,51.1123504638672
134,3010,14,2,2023-10-25 19:34:54,17.0063953399658,51.0731391906738
135,3012,3,15,2023-10-25 18:37:01,17.0042858123779,51.114128112793
136,3013,7,4,2023-01-24 14:04:50,17.0066871643066,51.078685760498
137,3016,5,18,2023-10-25 19:35:02,17.0728054046631,51.084587097168
138,3101,18,6,2023-10-25 19:35:02,16.9834861755371,51.1301918029785
139,3103,3,14,2023-10-25 19:34:56,17.0030097961426,51.1146202087402
140,3104,18,20,2023-10-25 19:35:02,16.9488868713379,51.1431083679199
141,3106,14,4,2023-10-25 19:34:56,16.9866924285889,51.0914344787598
142,3107,21,22,2023-10-25 19:35:00,16.948881149292,51.1431007385254
143,3108,12,11,2023-10-25 19:35:05,16.9936695098877,51.1213417053223
144,3109,18,8,2023-10-25 19:34:56,17.0327816009521,51.0971755981445
145,3110,21,16,2023-10-25 19:35:02,17.0249156951904,51.0973320007324
146,3112,18,5,2023-10-25 19:35:05,17.0352725982666,51.0996627807617
147,3113,18,9,2023-10-25 19:35:00,16.9598941802979,51.139965057373
